"","power_wt","psg_wt","pilot_wt","range_wt","toffdist_wt","recharge_time_wt","airspeed_wt","grdspeed_wt","utility","cost"
"19988",1,0.7,1,1,1,0.5,1,1,0.74,5370
"19990",0.2,1,1,1,1,0.5,1,1,0.675555555555556,5550
"19991",1,1,1,1,1,0.5,1,1,0.8,5550
"19992",0.5,1,1,1,1,0.5,1,1,0.722222222222222,5550
"20000",1,0.7,0.5,1,1,0.5,1,1,0.673333333333333,5370
"20003",1,1,0.5,1,1,0.5,1,1,0.733333333333333,5550
"20015",1,1,0.2,1,1,0.5,1,1,0.693333333333333,5550
"20099",1,1,1,0.5,0.5,0.5,1,1,0.7,5200
"20132",1,0.7,1,1,0.5,0.5,1,1,0.695555555555556,5370
"20135",1,1,1,1,0.5,0.5,1,1,0.755555555555556,5550
"20136",0.5,1,1,1,0.5,0.5,1,1,0.677777777777778,5550
"20147",1,1,0.5,1,0.5,0.5,1,1,0.688888888888889,5550
"20279",1,1,1,1,0,0.5,1,1,0.711111111111111,5550
"20351",1,1,1,0.1,1,0,1,1,0.677777777777778,4770
"20387",1,1,1,0.5,1,0,1,1,0.722222222222222,5050
"20420",1,0.7,1,1,1,0,1,1,0.717777777777778,5220
"20423",1,1,1,1,1,0,1,1,0.777777777777778,5400
"20424",0.5,1,1,1,1,0,1,1,0.7,5400
"20435",1,1,0.5,1,1,0,1,1,0.711111111111111,5400
"20447",1,1,0.2,1,1,0,1,1,0.671111111111111,5400
"20531",1,1,1,0.5,0.5,0,1,1,0.677777777777778,5050
"20564",1,0.7,1,1,0.5,0,1,1,0.673333333333333,5220
"20567",1,1,1,1,0.5,0,1,1,0.733333333333333,5400
"20711",1,1,1,1,0,0,1,1,0.688888888888889,5400
